title,date,full_text,link
Keysight Accelerates Its 6G Efforts with NVIDIA 6G Research Cloud Platform,"March 20, 2024","Keysight Technologies, Inc., is collaborating on the new NVIDIA 6G Research Cloud platform, which includes the NVIDIA Aerial Omniverse Digital Twin
",https://www.microwavejournal.com/articles/41684-keysight-accelerates-its-6g-efforts-with-nvidia-6g-research-cloud-platform
Road to 6G: IDTechEx Investigates Emerging Low Loss Materials,"March 4, 2024","For 6G technologies to be deployed globally in a decade, key research and development activities must take place now, including low loss materials, which IDTechEx extensively explores in its report, “Low-Loss Materials for 5G and 6G 2024-2034: Markets, Trends, Forecasts.”",https://www.microwavejournal.com/articles/41578-road-to-6g-idtechex-investigates-emerging-low-loss-materials
NGMN Board Members Showcase Global Telecom Industry at Press & Industry Briefing at MWC,"February 27, 2024",The annual NGMN Press & Industry Briefing at Mobile World Congress 2024 took center stage at the Deutsche Telekom booth showcasing a lineup of senior industry experts representing different geo-regions of the globe. ,https://www.microwavejournal.com/articles/41540-ngmn-board-members-showcase-global-telecom-industry-at-press-and-industry-briefing-at-mwc
Rohde & Schwarz Enables Qualcomm to Pioneer New Frequency Ranges for Future 5G-A and 6G networks,"February 15, 2024",Rohde & Schwarz technology plays a key role in enabling Qualcomm Technologies to show the readiness and effectiveness of the latest RF modem technology for FR3.,https://www.microwavejournal.com/articles/41485-rohde-and-schwarz-enables-qualcomm-to-pioneer-new-frequency-ranges-for-future-5g-advanced-and-6g-networks
6G and The Long RF Journey Ahead,"February 13, 2024",N/A,https://www.microwavejournal.com/articles/41451-6g-and-the-long-rf-journey-ahead
A Sub-Terahertz MIMO Testbed for 6G Research,"February 13, 2024",N/A,https://www.microwavejournal.com/articles/41448-a-sub-terahertz-mimo-testbed-for-6g-research
Global 6G Connections to Reach 290M in First Two Years of Service,"February 6, 2024",A new study from Juniper Research predicts there will be 290 million connections globally by 2030; the year after its initial expected launch in 2029.,https://www.microwavejournal.com/articles/41425-global-6g-connections-to-reach-290m-in-first-two-years-of-service
ATIS and EU Smart Networks and Services Joint Undertaking Publish “Beyond 5G & 6G Roadmap” for EU-US Collaboration,"January 29, 2024","ATIS’ Next G Alliance and the 6G Industry Association
 announced publication of the “EU-US Beyond 5G/6G Roadmap” — a major first step in affirming the two regions’ commitment to collaborating in the development of 6G networks. 
",https://www.microwavejournal.com/articles/41394-atis-and-eu-smart-networks-and-services-joint-undertaking-publish-beyond-5g-and-6g-roadmap-for-eu-us-collaboration
5G-Advanced and 6G Networks Will Need Additional Spectrum,"January 24, 2024","5G Americas has released a white paper titled, ""The Evolution of 5G Spectrum"" that provides insights into the future of mobile networks, emphasizing the critical role of licensed spectrum for the successful rollout of 5G-Advanced and future 6G capabilities.
",https://www.microwavejournal.com/articles/41384-5g-advanced-and-6g-networks-will-need-additional-spectrum
The Antenna Company Joins 6G Future Network Services Consortium,"January 17, 2024","The Antenna Company announced that it has formally joined the Dutch 6G Future Network Services (FNS) Consortium. 
",https://www.microwavejournal.com/articles/41349-the-antenna-company-joins-6g-future-network-services-consortium
ATIS’ Next G Alliance Presents the Future of Next-Gen Distributed Sensing and Communications,"January 16, 2024","ATIS' Next G Alliance (NGA) announced publication of the white paper ""Distributed Sensing and Communications,"" which highlights the transformative role of 6G technology in enhancing integrated sensing and communication systems. 
",https://www.microwavejournal.com/articles/41342-atis-next-g-alliance-presents-the-future-of-next-gen-distributed-sensing-and-communications
Sivers Semiconductors Granted €1.2M EU Grant for Design of 6G Chip,"December 15, 2023","Sivers Wireless has been granted €1.2 million EU Grant from HORIZON Europe as part of a larger consortium, to design mmWave building blocks for next-generation 6G technology. 
",https://www.microwavejournal.com/articles/41242-sivers-semiconductors-granted-12m-eu-grant-for-design-of-6g-chip
3GPP Commits to Develop 6G,"December 5, 2023","3GPP Organizational Partners ARIB, ATIS, CCSA, ETSI, TSDSI, TTA and TTC announced that 3GPP will develop the next generation of global communications specifications.
",https://www.microwavejournal.com/articles/41186-3gpp-commits-to-develop-6g
IDTechEx Reports on 6G – Now and the Future,"November 21, 2023","IDTechEx's research report titled “6G Market 2023-2043: Technology, Trends, Forecasts, Players”  offers valuable perspectives and commercial outlooks for the emerging 6G market.
",https://www.microwavejournal.com/articles/41151-idtechex-reports-on-6g-now-and-the-future
Next-Generation Terabit Wireless Communication: Advancements Beyond 6G,"November 14, 2023","Through the project leadership of Keysight Technologies, 6G-SANDBOX project signed an MoU with the Industrial Technology Research Institute (ITRI) to foster collaboration between Europe and Taiwanese companies for 6G research.",https://www.microwavejournal.com/articles/41089-next-generation-terabit-wireless-communication-advancements-beyond-6g
Keysight Unites Europe and Asia for 6G Research,"November 10, 2023",N/A,https://www.microwavejournal.com/articles/41109-keysight-unites-europe-and-asia-for-6g-research
Brooklyn 6G Summit 2023 - Making 6G Happen,"November 5, 2023","ZTE Corporation has unveiled a groundbreaking digital twin-based antenna and RIS intelligent planning open service for smart ports in collaboration with China Mobile at the 2023 China Mobile Global Partner Conference. 
",https://www.microwavejournal.com/articles/41065-brooklyn-6g-summit-2023-making-6g-happen
China Mobile and ZTE Unveil Digital Twin-based Antenna and RIS Planning Open Service for Smart Ports,"October 31, 2023","At this year’s Brooklyn 6G Summit, visitors can experience the first demonstration of how a neural receiver paired with a learned custom modulation performs in a 5G NR UL MIMO scenario, from Rohde & Schwarz and NVIDIA.",https://www.microwavejournal.com/articles/41036-china-mobile-and-zte-unveil-digital-twin-based-antenna-and-ris-planning-open-service-for-smart-ports
Rohde & Schwarz and NVIDIA Showcase AI/ML-based Neural Receiver with Custom Modulation at Brooklyn 6G Summit,"October 30, 2023",Keysight and the University of Malaga (UMA) are collaborating to enable the use of AI and ML in advanced wireless communications systems focused on 6G research and development.,https://www.microwavejournal.com/articles/41033-rohde-and-schwarz-and-nvidia-showcase-ai-ml-based-neural-receiver-with-custom-modulation-at-brooklyn-6g-summit
Keysight and University of Malaga Integrating AI into 6G,"October 18, 2023","Presto Engineering announced its collaboration with Nokia for the industrialization of new equipment designed to build the foundations of the next generation of microwave links as part of the DIMIT project, supported by the French Public Investment Bank (BPI).",https://www.microwavejournal.com/articles/40984-keysight-and-university-of-malaga-integrating-ai-into-6g
Presto Engineering Collaborates with Nokia as Part of France 2030 Investment Plan,"October 5, 2023","Viavi Solutions Inc. announced the availability of NITRO® Wireless, a portfolio of solutions enabling all participants in the ecosystem to accelerate technology development by validating performance at each stage. ",https://www.microwavejournal.com/articles/40929-presto-engineering-announces-its-collaboration-with-nokia-as-part-of-france-2030-investment-plan
VIAVI Launches NITRO® Wireless,"October 4, 2023","ATIS’ Next G Alliance and the Bharat 6G Alliance announced they have signed a memorandum of understanding (MoU) to explore collaboration opportunities on 6G wireless technologies.
",https://www.microwavejournal.com/articles/40917-viavi-launches-nitro-wireless
ATIS’ Next G Alliance and India’s Bharat 6G Alliance Announce Memorandum of Understanding,"September 11, 2023",Rohde & Schwarz test and measurement instruments were used to characterize a FR2 RIS from Greenerwave for a recent test campaign. ,https://www.microwavejournal.com/articles/40804-atis-next-g-alliance-and-indias-bharat-6g-alliance-announce-memorandum-of-understanding
Rohde & Schwarz and Greenerwave Collaborate to Verify RIS Modules and Drive 6G Research,"September 5, 2023","ZTE Corporation has successfully partnered with Thailand’s leading telecommunications operator, AIS, to accomplish the world’s first dynamic RIS trial in an mmWave network at the AZ center in Bangkok.",https://www.microwavejournal.com/articles/40757-rohde-and-schwarz-and-greenerwave-collaborate-to-verify-ris-modules-and-drive-6g-research
AIS and ZTE Announce World’s First Dynamic RIS Trial in mmWave Network ,"August 29, 2023","ATIS’ Next G Alliance announced release of the 6G Spectrum Considerations white paper, which provides a detailed assessment of North American spectrum bands and their future readiness for 6G deployment. ",https://www.microwavejournal.com/articles/40741-ais-and-zte-announce-worlds-first-dynamic-ris-trial-in-mmwave-network
ATIS' Next G Alliance Addresses the Spectrum Issues of the 6G Future,"August 17, 2023",N/A,https://www.microwavejournal.com/articles/40695-atis-next-g-alliance-addresses-the-spectrum-issues-of-the-6g-future
Keysight Enables University of Stuttgart to Advance 6G ICs Research,"August 10, 2023","Keysight Technologies, Inc. is enabling the University of Stuttgart to conduct foundational research essential to development of new ICs for 6G technology with the new Keysight 6G Vector Component Analysis (VCA) solution.
",https://www.microwavejournal.com/articles/40659-keysight-enables-university-of-stuttgart-to-advance-6g-ics-research
6G Breakthrough: NTT Achieves 300 GHz Band Data Transmission with Beamforming,"July 20, 2023","NTT Corporation and researchers with the Tokyo Institute of Technology succeeded in achieving the world’s first wireless data transmission via beamforming in the 300 GHz band, which is expected to be utilized in the realization of 6G communications.",https://www.microwavejournal.com/articles/40561-6g-breakthrough-ntt-achieves-300-ghz-band-data-transmission-with-beamforming
Enhancing Sub-Terahertz RF EDA Workflows for 6G Challenges,"July 11, 2023","Built on the Keysight PNA-X Vector Component Analyzer solution, the demonstration characterizes a Nokia PA developed for use in 6G D-Band wireless communications systems and designed to operate with a low EVM.
",https://www.microwavejournal.com/articles/40516-enhancing-sub-terahertz-rf-eda-workflows-for-6g-challenges
Keysight and Nokia Bell Labs to Demonstrate 6G Sub-THz Component Characterization at IMS2023,"May 30, 2023","In a recent demonstration, IEMN reached a milestone of achieving a 300 GHz bidirectional link over an outdoor distance of 645 m using the R&S SMA100B microwave signal generator from Rohde & Schwarz.",https://www.microwavejournal.com/articles/40281-keysight-and-nokia-bell-labs-to-demonstrate-6g-sub-thz-component-characterization-at-ims2023
Rohde & Schwarz and IEMN Collaborate on 6G THz,"May 30, 2023",ATIS’ Next G Alliance announced publication of the 6G Roadmap for Vertical Industries. ,https://www.microwavejournal.com/articles/40279-rohde-and-schwarz-and-iemn-collaborate-on-6g-thz
ATIS’ Next G Alliance Maps the Future of 6G Vertical Applications,"May 3, 2023","Keysight, in collaboration with National Physical Laboratory (NPL) and the University of Surrey, has made the first 6G connection at speeds greater than 100 Gbps over sub-THz frequencies in the U.K.  ",https://www.microwavejournal.com/articles/40079-atis-next-g-alliance-maps-the-future-of-6g-vertical-applications
"Keysight, NPL and University of Surrey Make UK’s First 100 Gbps 6G Sub-THz Connection","April 24, 2023","According to IDTechEx’s latest 6G research, 6G could be with us in 2028 at the earliest. 
",https://www.microwavejournal.com/articles/40037-keysight-npl-and-university-of-surrey-make-uks-first-100-gbps-6g-sub-thz-connection
IDTechEx Reports on 6G's Fusion of Sensing and Communicating,"April 17, 2023","ATIS’ Next G Alliance announced publication of two new reports, “Sustainable 6G Connectivity — A Powerful Means of Doing Good” and “AI-Native Wireless Networks.” 
",https://www.microwavejournal.com/articles/39975-idtechex-reports-on-6gs-fusion-of-sensing-and-communicating
ATIS’ Next G Alliance White Papers on Sustainable 6G Connectivity and AI-Native Wireless Networks Map the 6G Future ,"April 7, 2023",The innovative Rohde & Schwarz concept for testing integrated joint communications and sensing (JCAS) shown at the Mobile World Congress 2023 received a Global TD-LTE Initiative (GTI) Award. ,https://www.microwavejournal.com/articles/39926-atis-next-g-alliance-white-papers-on-sustainable-6g-connectivity-and-ai-native-wireless-networks-map-the-6g-future
Rohde & Schwarz JCAS Reference Test Setup Receives GTI Award ,"April 3, 2023",N/A,https://www.microwavejournal.com/articles/39902-rohde-and-schwarz-jcas-reference-test-setup-receives-gti-award
Keysight Enables First O-RAN Open Distributed Unit Fronthaul Certificate for ArrayComm Through APOP,"March 28, 2023","Keysight Technologies, Inc. has enabled ArrayComm to obtain the first O-RAN ALLIANCE Fronthaul Certificate of Conformance for its O-DU with the Keysight Open RAN Architect (KORA) solutions.",https://www.microwavejournal.com/articles/39883-keysight-enables-first-o-ran-open-distributed-unit-fronthaul-certificate-for-arraycomm-through-apop
SCMP: China Unicom to Introduce Early 6G Mobile Applications by 2025,"March 28, 2023","China Unicom expects to complete technical research and launch early applications for 6G technology by 2025, boosting hopes of rolling out the next-generation mobile technology by the dawn of the next decade.",https://www.microwavejournal.com/articles/39880-scmp-china-unicom-to-introduce-early-6g-mobile-applications-by-2025
"The “Hidden” Opportunity in Low-loss Materials for 5G, Reports IDTechEx","March 23, 2023","IDTechEx expects that the total revenue for 5G FWA will reach nearly US$300 billion by 2033, as forecast in their report, “5G Market 2023-2033: Technology, Trends, Forecasts, Players.” ",https://www.microwavejournal.com/articles/39870-the-hidden-opportunity-in-low-loss-materials-for-5g-reports-idtechex
NYU Wireless at NYU Tandon Releases NYUSIM 4.0,"March 15, 2023","NYU Wireless announced the launch of NYUSIM 4.0, the first wireless channel simulator capable of generating real-world wireless channels above 100 GHz.",https://www.microwavejournal.com/articles/39819-nyu-wireless-at-nyu-tandon-releases-nyusim-40
A Quasioptic OTA Transmission at 285 GHz with 30 GHz Bandwidth,"March 13, 2023","IDTechEx discusses some of the hardware-related hurdles to 6G connectivity, as well as potential applications that could drive 6G.
",https://www.microwavejournal.com/articles/39772-a-quasioptic-ota-transmission-at-285-ghz-with-30-ghz-bandwidth
6G: IDTechEx Asks Why It Is Needed and What the Challenges Are,"March 3, 2023","Keysight Technologies, Inc. has signed a three-party agreement with NTT DOCOMO, Inc., and NTT to advance the development of key technologies expected to drive the innovation necessary for 6G.",https://www.microwavejournal.com/articles/39742-6g-idtechex-asks-why-it-is-needed-and-what-the-challenges-are
Keysight to Collaborate with DOCOMO and NTT to Advance 6G Wireless Communications,"March 2, 2023","Keysight Technologies, Inc. has announced it has signed a memorandum of understanding (MoU) with Analog Devices, Inc. (ADI) to advance 6G technology design and development.",https://www.microwavejournal.com/articles/39735-keysight-to-collaborate-with-docomo-and-ntt-to-advance-6g-wireless-communications
Keysight Signs MoU with Analog Devices to Advance 6G Technology Design and Development,"February 27, 2023","SK Telecom and NTT DOCOMO, INC. announced their joint release of two white papers, one on energy-efficient 5G mobile networks and related technologies and the other on requirements for future 6G networks.",https://www.microwavejournal.com/articles/39713-keysight-signs-mou-with-analog-devices-to-advance-6g-technology-design-and-development
SK Telecom and DOCOMO Release White Papers on Green Mobile Networks and 6G Requirements,"February 22, 2023","Rohde & Schwarz, working with NVIDIA, is taking a step forward from simulations to implementing AI and ML in future 6G technology. ",https://www.microwavejournal.com/articles/39672-sk-telecom-and-docomo-release-white-papers-on-green-mobile-networks-and-6g-requirements
Towards 6G: Rohde & Schwarz Showcases AI/ML-based Neural Receiver with NVIDIA at MWC Barcelona,"February 21, 2023",N/A,https://www.microwavejournal.com/articles/39665-towards-6g-rohde-and-schwarz-showcases-ai-ml-based-neural-receiver-with-nvidia-at-mwc-barcelona
Low-Loss Materials for 6G: IDTechEx Discusses the Current Status and Future Direction,"February 21, 2023","Although 6G spectrum will not be standardized till 2027 at the earliest, researchers and OEMs like Huawei are already exploring the technical advancements needed to facilitate 6G, according to IDTechEx.
",https://www.microwavejournal.com/articles/39663-low-loss-materials-for-6g-idtechex-discusses-the-current-status-and-future-direction
"Nokia, DOCOMO and NTT Make Two Key 6G Advances ","February 15, 2023","Nokia, NTT DOCOMO, INC. and NTT announced that they have achieved two key technological milestones on the path to 6G. The first is the implementation of AI and ML into the radio air interface and the utilization of new sub-THz spectrum to dramatically boost network capacity.",https://www.microwavejournal.com/articles/39647-nokia-docomo-and-ntt-make-two-key-6g-advances
Keysight Brings Advanced Solution Expertise to Four Key European 6G Projects,"February 6, 2023","Keysight Technologies, Inc. announced it brings advanced solution expertise to four projects that are a part of the 6G Smart Networks and Services Joint Undertaking (SNS-JU), a research and innovation program co-funded by the European Union.",https://www.microwavejournal.com/articles/39586-keysight-brings-advanced-solution-expertise-to-four-key-european-6g-projects
Rohde & Schwarz Drives 6G with sub-THz Channel Propagation Measurements,"January 12, 2023",The new frequency range between 100 GHz and 330 GHz gains worldwide interest and thus has been the focus of recent Rohde & Schwarz measurement campaigns.,https://www.microwavejournal.com/articles/39471-rohde-and-schwarz-drives-6g-with-sub-thz-channel-propagation-measurements
Keysight Coordinates Pan-European 6G Testbed,"January 5, 2023","Keysight Technologies, Inc. announced the company joins forces with 16 organizations to create 6G-SANDBOX, a pan-European testbed for 6G experimentation and validation of 5G-Advanced and 6G capabilities. ",https://www.microwavejournal.com/articles/39437-keysight-coordinates-pan-european-6g-testbed
6G – What Are The Important Technological Developments To Watch?,"January 5, 2023","The latest IDTechEx research report, ""6G Market 2023-2043: Technology, Trends, Forecasts, Players"" covers a high-level overview of 6G, including 6G frequencies, technological development trends and noteworthy 6G applications. 
",https://www.microwavejournal.com/articles/39427-6g-what-are-the-important-technological-developments-to-watch
Keysight to Spotlight Solutions that Accelerate 6G Innovations at IEEE Globecom 2022 ,"November 21, 2022","At IEEE Globecom 2022, Keysight's technical experts will showcase how it is innovating wireless communications with tools that can rapidly design, emulate and test 6G technologies. ",https://www.microwavejournal.com/articles/39233-keysight-to-spotlight-solutions-that-accelerate-6g-innovations-at-ieee-globecom-2022
5G is Innovating Towards Next-Generation Wireless Networks,"November 9, 2022","5G Americas announced the release of its latest white paper covering communications in networks of the future entitled, “Mobile Communications Towards 2030.”  ",https://www.microwavejournal.com/articles/39165-5g-is-innovating-towards-next-generation-wireless-networks
"Keysight, NOKIA Bell Labs Collaborate to Accelerate 5G-Advanced and 6G Communications","November 9, 2022","Keysight Technologies, Inc. announced that NOKIA Bell Labs has selected Keysight's sub-terahertz (THz) test bed to verify the performance of 5G advanced and 6G transceiver (TRX) modules.
",https://www.microwavejournal.com/articles/39162-keysight-nokia-bell-labs-collaborate-to-accelerate-5g-advanced-and-6g-communications
"Rohde & Schwarz, Tsinghua University and Actenna Technology Team to Conduct RIS Technology Trials","October 26, 2022","Rohde & Schwarz, with Tsinghua University and Actenna Technology, recently completed an evaluation and trial of RIS technology to comprehensively evaluate the effects and performance of RIS deployment.",https://www.microwavejournal.com/articles/39071-rohde-and-schwarz-tsinghua-university-and-actenna-technology-team-to-conduct-ris-technology-trials
Nokia to Lead the Next Phase of Europe’s 6G Flagship Project ,"October 7, 2022","Nokia announced that it will lead the Hexa-X-II project, the second phase of the European 6G flagship initiative, by creating the pre-standardized platform and system view that will form the basis for many inputs into future 6G standardization.",https://www.microwavejournal.com/articles/38966-nokia-to-lead-the-next-phase-of-europes-6g-flagship-project
Rohde & Schwarz and China Mobile Research Institute Collaborate on 6G JCAS Research and Early Validation,"September 20, 2022",The China Mobile Research Institute and Rohde & Schwarz have joined forces to research and validate joint communication and sensing (JCAS).,https://www.microwavejournal.com/articles/38881-rohde-and-schwarz-and-china-mobile-research-institute-collaborate-on-6g-jcas-research-and-early-validation
Keysight World: Innovate to Spotlight Emerging Technologies and Trends,"September 7, 2022","Keysight Technologies, Inc. will showcase emerging technology trends and provide actionable insights for innovators looking to advance their engineering innovation in 5G and 6G, electric and autonomous vehicles, quantum computing and systems, and digital twins and artificial intelligence (AI).",https://www.microwavejournal.com/articles/38805-keysight-world-innovate-to-spotlight-emerging-technologies-and-trends
NYU WIRELESS To Harness the THz Spectrum with NSF and Industry Support,"August 30, 2022","NYU WIRELESS is poised to lay the groundwork for that future, thanks to funding from the National Science Foundation for a new THz Measurement Facility to help NYU and its collaborator pioneer basic measurements of devices, circuits, materials and radio propagation channels at the highest reaches of the radio spectrum.",https://www.microwavejournal.com/articles/38776-nyu-wireless-to-harness-the-thz-spectrum-with-nsf-and-industry-support
ATIS’ Next G Alliance Advances Two “Audacious Goals” to Map the 6G Future,"August 18, 2022","ATIS’ Next G Alliance (NGA) announced release of two new reports: 6G Distributed Cloud and Communications System and Trust, Security and Resilience for 6G Systems. 
",https://www.microwavejournal.com/articles/38730-atis-next-g-alliance-advances-two-audacious-goals-to-map-the-6g-future
VIAVI 6G Forward Program Drives Academic and Industry Research,"August 16, 2022","Viavi Solutions Inc. announced that its new 6G Forward program will provide vital expertise, technology and funding to promising avenues of research, which may lead to breakthroughs for the next generation of wireless technology. ",https://www.microwavejournal.com/articles/38704-viavi-6g-forward-program-drives-academic-and-industry-research
The Ideal Band for 6G,"August 12, 2022","ATIS’ Next G Alliance and the 6G Smart Networks and Services Industry Association announced they have signed a MoU to exchange information regarding their work programs in areas of mutual interest in the field of 6G communication systems and networks.
",https://www.microwavejournal.com/articles/38670-the-ideal-band-for-6g
ATIS’ Next G Alliance and Europe’s 6G-IA  Announce Memorandum of Understanding ,"August 10, 2022",Rohde & Schwarz is contributing to 6G-ANNA lighthouse project by leveraging its already comprehensive research into 6G and related technologies.,https://www.microwavejournal.com/articles/38679-atis-next-g-alliance-and-europes-6g-ia-announce-memorandum-of-understanding
"Rohde & Schwarz Participates in 6G-ANNA, a Lighthouse Project to Advance 6G in Germany","July 28, 2022","ATIS’ Next G Alliance released recommendations forecasting the technologies that will be needed to advance the 6G future and areas in which further research is required on North American 6G priorities, presented in ""Next G Alliance Report: 6G Technologies.""",https://www.microwavejournal.com/articles/38616-rohde-and-schwarz-participates-in-6g-anna-a-lighthouse-project-to-advance-6g-in-germany
ATIS’ Next G Alliance Advances Understanding of 6G Technologies ,"July 12, 2022",N/A,https://www.microwavejournal.com/articles/38533-atis-next-g-alliance-advances-understanding-of-6g-technologies
Nokia to Lead German 6G Lighthouse Project ,"July 11, 2022","Nokia announced it will lead 6G-ANNA, a German national-funded 6G lighthouse project, starting from July 1, 2022.
",https://www.microwavejournal.com/articles/38524-nokia-to-lead-german-6g-lighthouse-project
Keysight’s Participation in O-RAN Global PlugFest Spring 2022 Enables Ecosystem to Speed Open RAN,"June 30, 2022","Keysight Technologies, Inc. participated in the fourth global PlugFest event organized by the O-RAN ALLIANCE , accelerating development of Open RAN (O-RAN) technologies with open standard interfaces, intelligence and security. ",https://www.microwavejournal.com/articles/38486-keysights-participation-in-o-ran-global-plugfest-spring-2022-enables-ecosystem-to-speed-open-ran
Rohde & Schwarz Presents Latest Innovations for 5G and 6G Component Testing at IMS2022,"June 7, 2022","At the International Microwave Symposium (IMS2022), Rohde & Schwarz will showcase new EVM optimization techniques for 5G FR2, 6G D-Band component test, the latest over-the-air test chamber and many additional new products.",https://www.microwavejournal.com/articles/38293-rohde-and-schwarz-presents-latest-innovations-for-5g-and-6g-component-testing-at-ims2022
"Docomo Pushes 6G Vision with Nokia, NEC, Fujitsu","June 6, 2022","Japan’s NTT Docomo and parent company NTT detailed plans to run experimental trials of next-generation mobile technologies with Nokia, NEC and Fujitsu, focused on sub-THz spectrum and AI-enabled interfaces in proof-of-concept tests.",https://www.microwavejournal.com/articles/38273-docomo-pushes-6g-vision-with-nokia-nec-fujitsu
June Conference in France to Explore Pathways to 6G Applications,"June 1, 2022","The EuCNC  and 6G Summit hybrid conference, “Connectivity for a Sustainable World,” will accommodate both in-person and remote attendance for four days of keynotes, panels, work sessions and exhibits  to explore future critical 6G application. 
",https://www.microwavejournal.com/articles/38243-june-conference-in-france-to-explore-pathways-to-6g-applications
ATIS’ Next G Alliance Takes a Futuristic Look  at 6G Applications,"May 31, 2022","Advancing the foundation for North American leadership in 6G and beyond, ATIS' Next G Alliance released a report presenting the use cases and applications for the future 6G network.",https://www.microwavejournal.com/articles/38237-atis-next-g-alliance-takes-a-futuristic-look-at-6g-applications
